ccaa;periodo;genero;origen;dif_finmes;espacio_insuf;gasto_elevado;hogares_mono;retrasos_pagos;salario_destinado
Andalucía;2004;hombres;real;17,50;18,65;NA;NA;12,55;NA
Andalucía;2004;mujeres;real;17,90;18,55;NA;NA;12,65;NA
Andalucía;2004;total;real;17,70;18,60;NA;NA;12,60;NA
Andalucía;2005;hombres;real;13,15;10,90;NA;NA;7,40;NA
Andalucía;2005;mujeres;real;14,05;10,90;NA;NA;7,20;NA
Andalucía;2005;total;real;13,60;10,90;NA;NA;7,30;NA
Andalucía;2006;hombres;real;17,90;6,75;NA;NA;8,85;NA
Andalucía;2006;mujeres;real;18,10;6,25;NA;NA;8,55;NA
Andalucía;2006;total;real;18,00;6,50;NA;NA;8,70;NA
Andalucía;2007;hombres;real;14,45;5,65;NA;NA;10,20;NA
Andalucía;2007;mujeres;real;14,95;5,55;NA;NA;10,00;NA
Andalucía;2007;total;real;14,70;5,60;NA;NA;10,10;NA
Andalucía;2008;hombres;real;17,00;7,10;7,25;NA;7,90;41,53
Andalucía;2008;mujeres;real;17,40;6,50;7,35;NA;7,30;50,80
Andalucía;2008;total;real;17,20;6,80;7,30;NA;7,60;44,26
Andalucía;2009;hombres;real;20,45;6,05;8,55;NA;10,80;36,59
Andalucía;2009;mujeres;real;20,35;5,35;8,65;NA;10,40;43,84
Andalucía;2009;total;real;20,40;5,70;8,60;NA;10,60;39,17
Andalucía;2010;hombres;real;23,05;4,85;7,45;NA;12,70;34,12
Andalucía;2010;mujeres;real;23,55;4,35;8,15;NA;13,10;44,43
Andalucía;2010;total;real;23,30;4,60;7,80;NA;12,90;37,55
Andalucía;2011;hombres;real;18,00;7,65;11,10;NA;13,85;32,73
Andalucía;2011;mujeres;real;18,20;7,35;11,30;NA;13,75;41,53
Andalucía;2011;total;real;18,10;7,50;11,20;NA;13,80;35,56
Andalucía;2012;hombres;real;22,10;6,60;8,60;NA;15,90;31,38
Andalucía;2012;mujeres;real;21,50;6,60;8,80;NA;15,10;40,00
Andalucía;2012;total;real;21,80;6,60;8,70;NA;15,50;34,57
Andalucía;2013;hombres;real;25,95;6,55;9,45;NA;13,50;29,46
Andalucía;2013;mujeres;real;26,25;6,25;8,95;NA;13,30;38,71
Andalucía;2013;total;real;26,10;6,40;9,20;NA;13,40;32,83
Andalucía;2014;hombres;real;25,55;7,10;11,45;48,30;15,70;28,98
Andalucía;2014;mujeres;real;26,05;7,10;11,35;274,00;15,90;38,10
Andalucía;2014;total;real;25,80;7,10;11,40;322,30;15,80;31,78
Andalucía;2015;hombres;real;16,65;5,75;8,90;56,20;13,90;29,31
Andalucía;2015;mujeres;real;17,15;5,45;8,70;284,80;13,70;38,54
Andalucía;2015;total;real;16,90;5,60;8,80;341,00;13,80;32,56
Andalucía;2016;hombres;real;24,75;6,80;9,15;70,60;13,35;30,65
Andalucía;2016;mujeres;real;25,85;7,00;9,65;285,90;13,05;40,66
Andalucía;2016;total;real;25,30;6,90;9,40;356,50;13,20;34,25
Andalucía;2017;hombres;real;13,95;6,40;7,80;68,60;11,30;32,22
Andalucía;2017;mujeres;real;14,45;6,80;8,60;287,30;11,10;42,79
Andalucía;2017;total;real;14,20;6,60;8,20;355,90;11,20;36,03
Andalucía;2018;hombres;real;16,95;6,35;6,75;59,90;15,60;35,60
Andalucía;2018;mujeres;real;17,85;6,45;7,85;280,20;15,80;47,40
Andalucía;2018;total;real;17,40;6,40;7,30;340,10;15,70;39,83
Andalucía;2019;hombres;real;10,25;8,40;7,75;59,50;11,25;38,15
Andalucía;2019;mujeres;real;11,35;8,60;8,25;278,00;11,35;48,79
Andalucía;2019;total;real;10,80;8,50;8,00;337,50;11,30;41,75
Andalucía;2020;hombres;real;14,50;8,30;5,55;55,30;19,30;40,33
Andalucía;2020;mujeres;real;15,10;7,90;6,45;277,40;18,70;52,50
Andalucía;2020;total;real;14,80;8,10;6,00;332,70;19,00;44,04
Andalucía;2021;hombres;proyeccion;NA;NA;NA;59,15;NA;NA
Andalucía;2021;hombres;real;12,45;7,05;9,95;NA;17,30;39,27
Andalucía;2021;mujeres;proyeccion;NA;NA;NA;282,04;NA;NA
Andalucía;2021;mujeres;real;12,55;6,75;10,25;NA;16,70;49,93
Andalucía;2021;total;proyeccion;NA;NA;NA;342,33;NA;NA
Andalucía;2021;total;real;12,50;6,90;10,10;NA;17,00;42,24
Andalucía;2022;hombres;proyeccion;NA;NA;NA;59,81;NA;NA
Andalucía;2022;hombres;real;11,30;7,60;9,00;NA;16,55;40,77
Andalucía;2022;mujeres;proyeccion;NA;NA;NA;283,02;NA;NA
Andalucía;2022;mujeres;real;12,10;7,60;9,80;NA;16,05;49,27
Andalucía;2022;total;proyeccion;NA;NA;NA;343,58;NA;NA
Andalucía;2022;total;real;11,70;7,60;9,40;NA;16,30;43,84
Andalucía;2023;hombres;proyeccion;NA;NA;NA;60,62;NA;NA
Andalucía;2023;hombres;real;13,40;8,10;8,50;NA;15,95;43,27
Andalucía;2023;mujeres;proyeccion;NA;NA;NA;285,94;NA;NA
Andalucía;2023;mujeres;real;13,80;8,10;8,90;NA;15,25;53,36
Andalucía;2023;total;proyeccion;NA;NA;NA;341,62;NA;NA
Andalucía;2023;total;real;13,60;8,10;8,70;NA;15,60;46,43
Andalucía;2024;hombres;proyeccion;11,97;7,71;8,00;60,59;15,40;47,25
Andalucía;2024;mujeres;proyeccion;12,23;7,66;8,34;286,70;14,72;56,44
Andalucía;2024;total;proyeccion;12,03;7,67;7,98;341,62;15,24;49,96
Andalucía;2025;hombres;proyeccion;13,05;7,76;8,12;60,40;15,87;50,58
Andalucía;2025;mujeres;proyeccion;12,76;7,72;7,73;285,94;14,19;60,48
Andalucía;2025;total;proyeccion;12,95;7,73;8,07;341,62;14,87;53,54
Andalucía;2026;hombres;proyeccion;12,08;7,71;8,03;60,40;15,99;52,98
Andalucía;2026;mujeres;proyeccion;12,60;7,75;8,01;285,94;14,03;62,76
Andalucía;2026;total;proyeccion;12,22;7,77;7,91;341,62;14,67;55,82
Aragón;2004;hombres;real;3,90;9,05;NA;NA;4,35;NA
Aragón;2004;mujeres;real;4,30;8,95;NA;NA;4,45;NA
Aragón;2004;total;real;4,10;9,00;NA;NA;4,40;NA
Aragón;2005;hombres;real;4,85;5,50;NA;NA;3,30;NA
Aragón;2005;mujeres;real;5,75;5,50;NA;NA;3,10;NA
Aragón;2005;total;real;5,30;5,50;NA;NA;3,20;NA
Aragón;2006;hombres;real;7,10;6,25;NA;NA;4,05;NA
Aragón;2006;mujeres;real;7,30;5,75;NA;NA;3,75;NA
Aragón;2006;total;real;7,20;6,00;NA;NA;3,90;NA
Aragón;2007;hombres;real;5,35;4,75;NA;NA;5,80;NA
Aragón;2007;mujeres;real;5,85;4,65;NA;NA;5,60;NA
Aragón;2007;total;real;5,60;4,70;NA;NA;5,70;NA
Aragón;2008;hombres;real;2,90;3,40;7,45;NA;3,70;35,28
Aragón;2008;mujeres;real;3,30;2,80;7,55;NA;3,10;48,71
Aragón;2008;total;real;3,10;3,10;7,50;NA;3,40;39,84
Aragón;2009;hombres;real;4,25;4,45;7,25;NA;3,60;32,13
Aragón;2009;mujeres;real;4,15;3,75;7,35;NA;3,20;44,50
Aragón;2009;total;real;4,20;4,10;7,30;NA;3,40;36,40
Aragón;2010;hombres;real;4,75;2,15;5,05;NA;5,30;30,02
Aragón;2010;mujeres;real;5,25;1,65;5,75;NA;5,70;40,48
Aragón;2010;total;real;5,00;1,90;5,40;NA;5,50;33,98
Aragón;2011;hombres;real;4,60;2,85;7,70;NA;5,55;29,60
Aragón;2011;mujeres;real;4,80;2,55;7,90;NA;5,45;41,17
Aragón;2011;total;real;4,70;2,70;7,80;NA;5,50;33,96
Aragón;2012;hombres;real;5,60;1,40;7,60;NA;4,50;28,80
Aragón;2012;mujeres;real;5,00;1,40;7,80;NA;3,70;40,70
Aragón;2012;total;real;5,30;1,40;7,70;NA;4,10;33,53
Aragón;2013;hombres;real;15,65;4,05;10,05;NA;11,70;26,50
Aragón;2013;mujeres;real;15,95;3,75;9,55;NA;11,50;36,53
Aragón;2013;total;real;15,80;3,90;9,80;NA;11,60;30,92
Aragón;2014;hombres;real;10,25;1,80;9,15;8,10;11,00;25,15
Aragón;2014;mujeres;real;10,75;1,80;9,05;36,80;11,20;33,70
Aragón;2014;total;real;10,50;1,80;9,10;44,80;11,10;28,79
Aragón;2015;hombres;real;6,25;1,35;6,50;8,50;8,20;25,57
Aragón;2015;mujeres;real;6,75;1,05;6,30;38,40;8,00;35,17
Aragón;2015;total;real;6,50;1,20;6,40;46,80;8,10;29,31
Aragón;2016;hombres;real;4,75;1,40;4,75;12,10;8,35;26,85
Aragón;2016;mujeres;real;5,85;1,60;5,25;37,70;8,05;36,62
Aragón;2016;total;real;5,30;1,50;5,00;49,80;8,20;30,95
Aragón;2017;hombres;real;3,75;1,70;3,70;11,10;3,80;27,72
Aragón;2017;mujeres;real;4,25;2,10;4,50;40,00;3,60;37,57
Aragón;2017;total;real;4,00;1,90;4,10;51,10;3,70;31,27
Aragón;2018;hombres;real;4,05;4,65;4,65;8,60;3,80;29,00
Aragón;2018;mujeres;real;4,95;4,75;5,75;41,50;4,00;38,96
Aragón;2018;total;real;4,50;4,70;5,20;50,10;3,90;32,40
Aragón;2019;hombres;real;2,85;6,00;4,65;10,10;3,75;30,81
Aragón;2019;mujeres;real;3,95;6,20;5,15;39,30;3,85;40,58
Aragón;2019;total;real;3,40;6,10;4,90;49,40;3,80;34,66
